Lith.      <tip>lithuanien</tip> (29)
lith.      <tip>lithuanien</tip> (89)
logiq.     <tip>logique</tip> (3)
m à m.     <tip>mot à mot</tip> (216)
M.         <tip>Masculin</tip> (315)
m.         <tip>masculin</tip> (13883)
méd.       <TIP></TIP> (18)
Mms.       <tip>Même signification</tip> (8)
mms.       <tip>même signification</tip> (870)
mold.      <TIP></TIP> (1)
moy        <TIP></TIP> (1)
moy.       <tip>moyen</tip> (175)
Moy.       <tip>Moyen</tip> (19)
M§         <tip>voir notre Méthode sanscrite, paragraphe</tip> (120)
M§§        <tip>voir notre Méthode sanscrite, paragraphes</tip> (4)
n.         <tip>neutre</tip> (5522)
N.         <tip>Neutre</tip> (386)
N. E.      <TIP></TIP> (1)
N. O.      <TIP></TIP> (6)
N.-E.      <TIP></TIP> (2)
N.-O.      <TIP></TIP> (1)
n.-o.      <TIP></TIP> (2)
nég.       <tip>négatif</tip> (31)
nom.       <TIP></TIP> (20)
Np.        <tip>Nom propre</tip> (351)
np.        <tip>nom propre</tip> (581)
o.         <tip>optatif</tip> (121)
O.         <TIP></TIP> (4)
onomat.    <TIP></TIP> (2)
opp.       <TIP></TIP> (3)
oppos.     <tip>opposition</tip> (30)
ord.       <TIP></TIP> (1)
ordint.    <tip>ordinairement</tip> (14)
ordt.      <TIP></TIP> (10)
orth.      <TIP></TIP> (8)
osq.       <TIP></TIP> (1)
P.         <TIP></TIP> (6)
p.         <tip>parfait</tip> (1110)
Part.      <TIP></TIP> (1)
part.      <tip>particule</tip> (16)
partic.    <TIP></TIP> (5)
Passivt.   <TIP></TIP> (2)
Passt.     <TIP></TIP> (1)
pers.      <TIP></TIP> (17)
Pers.      <TIP></TIP> (1)
pf.        <tip>participe futur</tip> (123)
Pf.        <TIP></TIP> (2)
pfx.       <tip>préfixe</tip> (29)
Pl.        <TIP></TIP> (3)
pl.        <tip>pluriel</tip> (324)
polon.     <tip>polonais</tip> (3)
Pp.        <tip>Participe passé</tip> (282)
PP.        <TIP></TIP> (2)
pp.        <tip>participe passé</tip> (1231)
ppf.       <tip>participe parfait</tip> (39)
Ppf.       <TIP></TIP> (1)
Ppr.       <TIP></TIP> (8)
ppr.       <tip>participe présent</tip> (120)
pps.       <TIP></TIP> (1)
pqp.       <tip>plus-que-parfait</tip> (203)
Pqp.       <TIP></TIP> (1)
pr.        <tip>Présent</tip> (165)
Pr.        <tip>Présent</tip> (9)
prâkrit    <TIP></TIP> (2)
prép.      <tip>préposition</tip> (10)
prépos.    <TIP></TIP> (1)
priv.      <tip>privatif</tip> (64)
Ps.        <tip>passif</tip> (106)
ps.        <tip>passif</tip> (261)
qconque    <tip>quelconque</tip> (14)
qconque.   <tip>quelconque</tip> (13)
qconques   <tip>quelconques</tip> (2)
Qpf.       <TIP></TIP> (1)
qq.        <tip>quelques</tip> (17)
qqc.       <tip>quelque chose</tip> (283)
Qqf.       <tip>quelquefois</tip> (267)
qqf.       <tip>quelquefois</tip> (169)
qqn        <TIP></TIP> (11)
qqn.       <tip>quelqu’un</tip> (450)
qqs        <TIP></TIP> (1)
qqs.       <TIP></TIP> (1)
rac.       <TIP></TIP> (9)
red.       <tip>redoublement</tip> (50)
rhét.      <TIP></TIP> (4)
rhétor.    <TIP></TIP> (2)
S.         <tip>substantif</tip> (2730)
s.         <tip>substantif</tip> (15)
S. E.      <TIP></TIP> (1)
S. O.      <TIP></TIP> (2)
sax.       <tip>saxon</tip> (1)
scandin.   <TIP></TIP> (1)
Sf.        <TIP></TIP> (1)
sf.        <TIP></TIP> (5)
sfx.       <tip>suffixe</tip> (2763)
sg.        <tip>singulier</tip> (173)
Signif.    <TIP></TIP> (1)
Slav.      <TIP></TIP> (5)
slav.      <tip>slave</tip> (9)
slav. anc. <TIP></TIP> (1)
suéd.      <TIP></TIP> (2)
sup.       <tip>superlatif</tip> (55)
Sup.       <TIP></TIP> (3)
Sur.       <TIP></TIP> (1)
Surn.      <tip>Surnom</tip> (92)
surn.      <tip>surnom</tip> (153)
sync.      <tip>syncope</tip> (5)
synon.     <TIP></TIP> (2)
t.         <tip>terme</tip> (87)
tg.        <tip>terme grammatical</tip> (274)
Tg.        <TIP></TIP> (3)
th.        <tip>thème</tip> (16)
tr.        <tip>très</tip> (5)
v.         <tip>vocatif</tip> (1)
vd.        <tip>védique</tip> (251)
Vd.        <tip>Véda, védique</tip> (1129)
VÊD.       <TIP></TIP> (1)
védiq.     <tip>védique</tip> (1)
Z.         <TIP></TIP> (1)
zd.        <tip>zend</tip> (17)
Zd.        <TIP></TIP> (28)
