(?)	<id>(?)</id> <disp>douteux</disp>
1p.	<id>1p.</id> <disp>1re personne</disp>
2p.	<id>2p.</id> <disp>2e personne</disp>
3p.	<id>3p.</id> <disp>3e personne</disp>
a.	<id>a.</id> <disp>adjectif</disp>
A.	<id>A.</id> <disp>Adjectif</disp>
a1.	<id>a1.</id> <disp>aoriste 1er</disp>
A2	<id>A2</id> <disp>aoriste 2nd</disp>
a2.	<id>a2.</id> <disp>aoriste 2nd</disp>
A2.	<id>A2.</id> <disp>aoriste 2nd</disp>
ab.	<id>ab.</id> <disp>ablatif</disp>
Ab.	<id>Ab.</id> <disp>Ablatif</disp>
abs.	<id>abs.</id> <disp>absolutif</disp>
abslt.	<id>abslt.</id> <disp>NEW</disp> TODO <count>1</count>
Absolt.	<id>Absolt.</id> <disp>NEW</disp> TODO <count>5</count>
absolt.	<id>absolt.</id> <disp>NEW</disp> TODO <count>1</count>
Abst.	<id>Abst.</id> <disp>NEW</disp> TODO <count>2</count>
abst.	<id>abst.</id> <disp>NEW</disp> TODO <count>1</count>
ac.	<id>ac.</id> <disp>accusatif</disp>
Ac.	<id>Ac.</id> <disp>Accusatif</disp>
acc.	<id>acc.</id> <disp>accusatif</disp>
act.	<id>act.</id> <disp>actif</disp>
Act.	<id>Act.</id> <disp>actif</disp>
Actt.	<id>Actt.</id> <disp>activement</disp>
actt.	<id>actt.</id> <disp>activement</disp>
adj.	<id>adj.</id> <disp>NEW</disp> TODO <count>1</count>
Adjectt.	<id>Adjectt.</id> <disp>NEW</disp> TODO <count>1</count>
adjt.	<id>adjt.</id> <disp>NEW</disp> TODO <count>1</count>
Adjt.	<id>Adjt.</id> <disp>NEW</disp> TODO <count>6</count>
adv.	<id>adv.</id> <disp>adverbe</disp>
Adv.	<id>Adv.</id> <disp>adverbe</disp>
advt.	<id>advt.</id> <disp>adverbialement</disp>
Advt.	<id>Advt.</id> <disp>adverbialement</disp>
afghan.	<id>afghan.</id> <disp>NEW</disp> TODO <count>1</count>
anat.	<id>anat.</id> <disp>anatomie</disp>
anc. germ.	<id>anc. germ.</id> <disp>NEW</disp> TODO <count>3</count>
ancien germ.	<id>ancien germ.</id> <disp>NEW</disp> TODO <count>5</count>
